Electoral District,GP,NDP,CP,Other,Total Valid Votes
Abbotsford-Mission,0,10558,13254,0,23812
Abbotsford South,0,7232,12853,669,20754
Abbotsford West,0,6948,11225,914,19087
Boundary-Similkameen,1422,10271,11729,771,24193
Bulkley Valley-Stikine,588,3602,4875,236,9301
Burnaby Centre,0,9413,7120,0,16533
Burnaby East,1489,10058,7983,0,19530
Burnaby-New Westminster,0,10259,5984,921,17164
Burnaby North,0,10353,8457,736,19546
Burnaby South-Metrotown,920,7294,6188,415,14817
Cariboo-Chilcotin,0,5846,13459,0,19305
Chilliwack-Cultus Lake,0,10860,13307,0,24167
Chilliwack North,1133,7777,11492,473,20875
Columbia River-Revelstoke,1394,7901,8616,0,17911
Coquitlam-Burke Mountain,0,10592,10324,0,20916
Coquitlam-Maillardville,1411,11568,8939,520,22438
Courtenay-Comox,6988,12915,13146,627,33676
Cowichan Valley,5599,11425,10699,591,28314
Delta North,1259,10692,8231,176,20358
Delta South,0,11558,14234,0,25792
Esquimalt-Colwood,5485,14456,8333,0,28274
Fraser-Nicola,1702,6720,10162,0,18584
Juan de Fuca-Malahat,5346,8943,8920,0,23209
Kamloops Centre,2544,10100,12127,0,24771
Kamloops-North Thompson,2143,9550,17542,0,29235
Kelowna Centre,1061,10593,10741,2526,24921
Kelowna-Lake Country-Coldstream,1080,8794,13618,1635,25127
Kelowna-Mission,1312,8615,13790,2903,26620
Kootenay Central,4020,8466,6840,2159,21485
Kootenay-Monashee,1745,9954,7502,0,19201
Kootenay-Rockies,971,4088,8114,5776,18949
Ladysmith-Oceanside,2162,13419,11675,5335,32591
Langford-Highlands,2286,10940,8039,0,21265
Langley-Abbotsford,1393,8436,14043,1273,25145
Langley-Walnut Grove,1215,10592,11803,130,23740
Langley-Willowbrook,1624,9701,10671,0,21996
Maple Ridge East,1570,11465,11791,0,24826
Maple Ridge-Pitt Meadows,0,14076,11663,0,25739
Mid Island-Pacific Rim,3276,13588,11140,0,28004
Nanaimo-Gabriola Island,3380,14084,9386,0,26850
Nanaimo-Lantzville,2474,14611,11338,0,28423
Nechako Lakes,609,3101,7770,0,11480
New Westminster-Coquitlam,2292,12214,6225,0,20731
North Coast-Haida Gwaii,0,4765,2582,0,7347
North Island,2325,13216,13898,0,29439
North Vancouver-Lonsdale,0,16060,8791,0,24851
North Vancouver-Seymour,1677,15671,10686,1741,29775
Oak Bay-Gordon Head,6197,13721,8161,0,28079
Peace River North,0,806,10997,2978,14781
Peace River South,0,558,7070,2475,10103
Penticton-Summerland,1439,10955,11425,3610,27429
Port Coquitlam,1604,13381,9736,240,24961
Port Moody-Burquitlam,1857,12871,10143,0,24871
Powell River-Sunshine Coast,3837,14060,10215,344,28456
Prince George-Mackenzie,1451,4830,10534,421,17236
Prince George-North Cariboo,848,3323,11262,4296,19729
Prince George-Valemount,1583,5556,8882,0,16021
Richmond-Bridgeport,526,5718,9642,633,16519
Richmond Centre,0,5739,8208,1767,15714
Richmond-Queensborough,0,8442,9864,959,19265
Richmond-Steveston,778,10013,9578,2293,22662
Saanich North and the Islands,11858,10538,9876,623,32895
Saanich South,5247,14587,9652,0,29486
Salmon Arm-Shuswap,2209,9439,16313,3257,31218
Skeena,400,5288,6173,125,11986
Surrey City Centre,845,6439,6343,298,13925
Surrey-Cloverdale,1107,9332,10004,149,20592
Surrey-Fleetwood,1286,9574,8988,0,19848
Surrey-Guildford,791,8569,8671,364,18395
Surrey-Newton,0,7632,6506,888,15026
Surrey North,626,6467,7729,278,15100
Surrey-Panorama,0,8176,8527,397,17100
Surrey-Serpentine River,0,9034,9550,542,19126
Surrey South,0,8623,12465,0,21088
Surrey-White Rock,0,12261,14257,646,27164
Vancouver-Fraserview,1233,11403,7376,0,20012
Vancouver-Hastings,2300,13701,5232,152,21385
Vancouver-Kensington,1403,11278,5920,0,18601
Vancouver-Langara,925,8111,7823,0,16859
Vancouver-Little Mountain,1781,15009,7449,0,24239
Vancouver-Point Grey,1817,11976,7310,0,21103
Vancouver-Quilchena,1666,8214,11036,376,21292
Vancouver-Renfrew,1026,10578,5193,0,16797
Vancouver-South Granville,2744,16390,6460,0,25594
Vancouver-Strathcona,2363,13278,3329,324,19294
Vancouver-West End,1792,12595,5483,140,20010
Vancouver-Yaletown,1191,8552,7568,0,17311
Vernon-Lumby,0,11528,11144,4455,27127
Victoria-Beacon Hill,9027,12714,5172,0,26913
Victoria-Swan Lake,5618,13498,4916,150,24182
West Kelowna-Peachland,0,7118,13194,5511,25823
West Vancouver-Capilano,1372,6711,11673,5141,24897
West Vancouver-Sea to Sky,10221,7018,9555,0,26794
