,Electoral District,GP,NDP,CP,Other,Total Valid Votes,Status
"<button data-ed=""Abbotsford-Mission"" onclick=""togglePinned('Abbotsford-Mission')""> <!-- Locked icon --> <!-- Unlocked icon -->",Abbotsford-Mission,0,"10,893","13,523",0,"24,416",Complete
"<button data-ed=""Abbotsford South"" onclick=""togglePinned('Abbotsford South')""> <!-- Locked icon --> <!-- Unlocked icon -->",Abbotsford South,0,"7,454","13,052",681,"21,187",Complete
"<button data-ed=""Abbotsford West"" onclick=""togglePinned('Abbotsford West')""> <!-- Locked icon --> <!-- Unlocked icon -->",Abbotsford West,0,"7,255","11,483",940,"19,678",Complete
"<button data-ed=""Boundary-Similkameen"" onclick=""togglePinned('Boundary-Similkameen')""> <!-- Locked icon --> <!-- Unlocked icon -->",Boundary-Similkameen,"1,454","10,497","11,936",779,"24,666",Complete
"<button data-ed=""Bulkley Valley-Stikine"" onclick=""togglePinned('Bulkley Valley-Stikine')""> <!-- Locked icon --> <!-- Unlocked icon -->",Bulkley Valley-Stikine,604,"3,709","4,992",239,"9,544",Complete
"<button data-ed=""Burnaby Centre"" onclick=""togglePinned('Burnaby Centre')""> <!-- Locked icon --> <!-- Unlocked icon -->",Burnaby Centre,0,"9,779","7,293",0,"17,072",Complete
"<button data-ed=""Burnaby East"" onclick=""togglePinned('Burnaby East')""> <!-- Locked icon --> <!-- Unlocked icon -->",Burnaby East,"1,543","10,487","8,199",0,"20,229",Complete
"<button data-ed=""Burnaby-New Westminster"" onclick=""togglePinned('Burnaby-New Westminster')""> <!-- Locked icon --> <!-- Unlocked icon -->",Burnaby-New Westminster,0,"10,644","6,160",940,"17,744",Complete
"<button data-ed=""Burnaby North"" onclick=""togglePinned('Burnaby North')""> <!-- Locked icon --> <!-- Unlocked icon -->",Burnaby North,0,"10,724","8,657",754,"20,135",Complete
"<button data-ed=""Burnaby South-Metrotown"" onclick=""togglePinned('Burnaby South-Metrotown')""> <!-- Locked icon --> <!-- Unlocked icon -->",Burnaby South-Metrotown,960,"7,560","6,372",432,"15,324",Complete
"<button data-ed=""Cariboo-Chilcotin"" onclick=""togglePinned('Cariboo-Chilcotin')""> <!-- Locked icon --> <!-- Unlocked icon -->",Cariboo-Chilcotin,0,"5,991","13,710",0,"19,701",Complete
"<button data-ed=""Chilliwack-Cultus Lake"" onclick=""togglePinned('Chilliwack-Cultus Lake')""> <!-- Locked icon --> <!-- Unlocked icon -->",Chilliwack-Cultus Lake,0,"11,367","13,657",0,"25,024",Complete
"<button data-ed=""Chilliwack North"" onclick=""togglePinned('Chilliwack North')""> <!-- Locked icon --> <!-- Unlocked icon -->",Chilliwack North,"1,187","8,125","11,776",487,"21,575",Complete
"<button data-ed=""Columbia River-Revelstoke"" onclick=""togglePinned('Columbia River-Revelstoke')""> <!-- Locked icon --> <!-- Unlocked icon -->",Columbia River-Revelstoke,"1,430","8,097","8,768",0,"18,295",Complete
"<button data-ed=""Coquitlam-Burke Mountain"" onclick=""togglePinned('Coquitlam-Burke Mountain')""> <!-- Locked icon --> <!-- Unlocked icon -->",Coquitlam-Burke Mountain,0,"11,022","10,651",0,"21,673",Complete
"<button data-ed=""Coquitlam-Maillardville"" onclick=""togglePinned('Coquitlam-Maillardville')""> <!-- Locked icon --> <!-- Unlocked icon -->",Coquitlam-Maillardville,"1,462","11,963","9,140",534,"23,099",Complete
"<button data-ed=""Courtenay-Comox"" onclick=""togglePinned('Courtenay-Comox')""> <!-- Locked icon --> <!-- Unlocked icon -->",Courtenay-Comox,"7,202","13,389","13,481",646,"34,718",Complete
"<button data-ed=""Cowichan Valley"" onclick=""togglePinned('Cowichan Valley')""> <!-- Locked icon --> <!-- Unlocked icon -->",Cowichan Valley,"5,773","11,795","10,946",604,"29,118",Complete
"<button data-ed=""Delta North"" onclick=""togglePinned('Delta North')""> <!-- Locked icon --> <!-- Unlocked icon -->",Delta North,"1,292","10,988","8,377",177,"20,834",Complete
"<button data-ed=""Delta South"" onclick=""togglePinned('Delta South')""> <!-- Locked icon --> <!-- Unlocked icon -->",Delta South,0,"11,822","14,490",0,"26,312",Complete
"<button data-ed=""Esquimalt-Colwood"" onclick=""togglePinned('Esquimalt-Colwood')""> <!-- Locked icon --> <!-- Unlocked icon -->",Esquimalt-Colwood,"5,716","15,237","8,652",0,"29,605",Complete
"<button data-ed=""Fraser-Nicola"" onclick=""togglePinned('Fraser-Nicola')""> <!-- Locked icon --> <!-- Unlocked icon -->",Fraser-Nicola,"1,759","6,917","10,322",0,"18,998",Complete
"<button data-ed=""Juan de Fuca-Malahat"" onclick=""togglePinned('Juan de Fuca-Malahat')""> <!-- Locked icon --> <!-- Unlocked icon -->",Juan de Fuca-Malahat,"5,522","9,308","9,167",0,"23,997",Complete
"<button data-ed=""Kamloops Centre"" onclick=""togglePinned('Kamloops Centre')""> <!-- Locked icon --> <!-- Unlocked icon -->",Kamloops Centre,"2,597","10,369","12,373",0,"25,339",Complete
"<button data-ed=""Kamloops-North Thompson"" onclick=""togglePinned('Kamloops-North Thompson')""> <!-- Locked icon --> <!-- Unlocked icon -->",Kamloops-North Thompson,"2,209","9,874","17,926",0,"30,009",Complete
"<button data-ed=""Kelowna Centre"" onclick=""togglePinned('Kelowna Centre')""> <!-- Locked icon --> <!-- Unlocked icon -->",Kelowna Centre,"1,111","10,993","11,031","2,612","25,747",Complete
"<button data-ed=""Kelowna-Lake Country-Coldstream"" onclick=""togglePinned('Kelowna-Lake Country-Coldstream')""> <!-- Locked icon --> <!-- Unlocked icon -->",Kelowna-Lake Country-Coldstream,"1,151","9,349","14,302","1,724","26,526",Complete
"<button data-ed=""Kelowna-Mission"" onclick=""togglePinned('Kelowna-Mission')""> <!-- Locked icon --> <!-- Unlocked icon -->",Kelowna-Mission,"1,349","8,913","14,071","2,996","27,329",Complete
"<button data-ed=""Kootenay Central"" onclick=""togglePinned('Kootenay Central')""> <!-- Locked icon --> <!-- Unlocked icon -->",Kootenay Central,"4,121","8,716","6,966","2,189","21,992",Complete
"<button data-ed=""Kootenay-Monashee"" onclick=""togglePinned('Kootenay-Monashee')""> <!-- Locked icon --> <!-- Unlocked icon -->",Kootenay-Monashee,"1,785","10,202","7,616",0,"19,603",Complete
"<button data-ed=""Kootenay-Rockies"" onclick=""togglePinned('Kootenay-Rockies')""> <!-- Locked icon --> <!-- Unlocked icon -->",Kootenay-Rockies,996,"4,184","8,216","5,844","19,240",Complete
"<button data-ed=""Ladysmith-Oceanside"" onclick=""togglePinned('Ladysmith-Oceanside')""> <!-- Locked icon --> <!-- Unlocked icon -->",Ladysmith-Oceanside,"2,292","14,144","12,097","5,559","34,092",Complete
"<button data-ed=""Langford-Highlands"" onclick=""togglePinned('Langford-Highlands')""> <!-- Locked icon --> <!-- Unlocked icon -->",Langford-Highlands,"2,368","11,444","8,250",0,"22,062",Complete
"<button data-ed=""Langley-Abbotsford"" onclick=""togglePinned('Langley-Abbotsford')""> <!-- Locked icon --> <!-- Unlocked icon -->",Langley-Abbotsford,"1,432","8,691","14,336","1,303","25,762",Complete
"<button data-ed=""Langley-Walnut Grove"" onclick=""togglePinned('Langley-Walnut Grove')""> <!-- Locked icon --> <!-- Unlocked icon -->",Langley-Walnut Grove,"1,254","10,946","12,116",136,"24,452",Complete
"<button data-ed=""Langley-Willowbrook"" onclick=""togglePinned('Langley-Willowbrook')""> <!-- Locked icon --> <!-- Unlocked icon -->",Langley-Willowbrook,"1,671","10,111","10,977",0,"22,759",Complete
"<button data-ed=""Maple Ridge East"" onclick=""togglePinned('Maple Ridge East')""> <!-- Locked icon --> <!-- Unlocked icon -->",Maple Ridge East,"1,626","11,960","12,056",0,"25,642",Complete
"<button data-ed=""Maple Ridge-Pitt Meadows"" onclick=""togglePinned('Maple Ridge-Pitt Meadows')""> <!-- Locked icon --> <!-- Unlocked icon -->",Maple Ridge-Pitt Meadows,0,"14,476","11,900",0,"26,376",Complete
