Electoral District,GP,NDP,CP,Other,Total Valid Votes
Abbotsford-Mission,0,10560,13254,0,23814
Abbotsford South,0,7232,12853,670,20755
Abbotsford West,0,6946,11225,914,19085
Boundary-Similkameen,1422,10271,11733,771,24197
Bulkley Valley-Stikine,588,3602,4874,236,9300
Burnaby Centre,0,9422,7128,0,16550
Burnaby East,1490,10062,7993,0,19545
Burnaby-New Westminster,0,10260,5987,922,17169
Burnaby North,0,10359,8459,736,19554
Burnaby South-Metrotown,920,7295,6187,415,14817
Cariboo-Chilcotin,0,5847,13460,0,19307
Chilliwack-Cultus Lake,0,10856,13307,0,24163
Chilliwack North,1133,7777,11493,473,20876
Columbia River-Revelstoke,1394,7902,8617,0,17913
Coquitlam-Burke Mountain,0,10613,10354,0,20967
Coquitlam-Maillardville,1411,11568,8939,520,22438
Courtenay-Comox,6996,12924,13158,628,33706
Cowichan Valley,5599,11427,10702,590,28318
Delta North,1259,10695,8233,176,20363
Delta South,0,11558,14234,0,25792
Esquimalt-Colwood,5487,14459,8335,0,28281
Fraser-Nicola,1703,6723,10168,0,18594
Juan de Fuca-Malahat,5349,8946,8923,0,23218
Kamloops Centre,2544,10102,12130,0,24776
Kamloops-North Thompson,2143,9552,17541,0,29236
Kelowna Centre,1061,10596,10744,2526,24927
Kelowna-Lake Country-Coldstream,1119,9041,13994,1693,25847
Kelowna-Mission,1313,8623,13797,2903,26636
Kootenay Central,4028,8476,6839,2159,21502
Kootenay-Monashee,1745,9956,7502,0,19203
Kootenay-Rockies,971,4089,8113,5776,18949
Ladysmith-Oceanside,2163,13426,11680,5336,32605
Langford-Highlands,2286,10940,8040,0,21266
Langley-Abbotsford,1394,8436,14045,1273,25148
Langley-Walnut Grove,1216,10592,11805,130,23743
Langley-Willowbrook,1624,9708,10671,0,22003
Maple Ridge East,1570,11469,11796,0,24835
Maple Ridge-Pitt Meadows,0,14074,11671,0,25745
Mid Island-Pacific Rim,3280,13590,11142,0,28012
Nanaimo-Gabriola Island,3382,14090,9391,0,26863
Nanaimo-Lantzville,2473,14614,11342,0,28429
Nechako Lakes,609,3101,7773,0,11483
New Westminster-Coquitlam,2294,12234,6242,0,20770
North Coast-Haida Gwaii,0,4763,2582,0,7345
North Island,2307,13068,13839,0,29214
North Vancouver-Lonsdale,0,16168,8855,0,25023
North Vancouver-Seymour,1683,15681,10696,1743,29803
Oak Bay-Gordon Head,6197,13726,8163,0,28086
Peace River North,0,806,10997,2978,14781
Peace River South,0,559,7069,2475,10103
Penticton-Summerland,1440,10956,11429,3610,27435
Port Coquitlam,1604,13389,9743,240,24976
Port Moody-Burquitlam,1866,12941,10212,0,25019
Powell River-Sunshine Coast,3837,14061,10218,344,28460
Prince George-Mackenzie,1451,4830,10534,421,17236
Prince George-North Cariboo,848,3324,11262,4296,19730
Prince George-Valemount,1583,5557,8877,0,16017
Richmond-Bridgeport,526,5718,9643,633,16520
Richmond Centre,0,5739,8209,1767,15715
Richmond-Queensborough,0,8442,9862,959,19263
Richmond-Steveston,778,10013,9582,2293,22666
Saanich North and the Islands,11859,10541,9876,623,32899
Saanich South,5251,14588,9655,0,29494
Salmon Arm-Shuswap,2209,9442,16316,3257,31224
Skeena,400,5277,6174,125,11976
Surrey City Centre,847,6439,6344,299,13929
Surrey-Cloverdale,1108,9341,10019,149,20617
Surrey-Fleetwood,1286,9573,8991,0,19850
Surrey-Guildford,791,8572,8675,364,18402
Surrey-Newton,0,7632,6512,888,15032
Surrey North,626,6469,7729,278,15102
Surrey-Panorama,0,8177,8531,397,17105
Surrey-Serpentine River,0,9047,9557,542,19146
Surrey South,0,8625,12471,0,21096
Surrey-White Rock,0,12261,14259,646,27166
Vancouver-Fraserview,1233,11404,7376,0,20013
Vancouver-Hastings,2300,13703,5234,153,21390
Vancouver-Kensington,1403,11278,5920,0,18601
Vancouver-Langara,926,8112,7823,0,16861
Vancouver-Little Mountain,1782,15013,7451,0,24246
Vancouver-Point Grey,1818,11979,7312,0,21109
Vancouver-Quilchena,1666,8214,11036,376,21292
Vancouver-Renfrew,1026,10578,5194,0,16798
Vancouver-South Granville,2745,16391,6462,0,25598
Vancouver-Strathcona,2360,13289,3324,324,19297
Vancouver-West End,1795,12597,5484,138,20014
Vancouver-Yaletown,1191,8553,7569,0,17313
Vernon-Lumby,0,11528,11143,4455,27126
Victoria-Beacon Hill,9029,12716,5175,0,26920
Victoria-Swan Lake,5620,13498,4917,150,24185
West Kelowna-Peachland,0,7119,13198,5511,25828
West Vancouver-Capilano,1376,6721,11694,5142,24933
West Vancouver-Sea to Sky,10228,7018,9559,0,26805
