,Electoral District,GP,NDP,CP,Other,Total Valid Votes,Advance Voting Ballot Boxes,Final Voting Day Ballot Boxes,Out-of-district ballots
"<button data-ed=""Abbotsford-Mission"" onclick=""togglePinned('Abbotsford-Mission')""> <!-- Locked icon --> <!-- Unlocked icon -->",Abbotsford-Mission,0,"10,558","13,254",0,"23,812",5 of 5,16 of 16,Complete
"<button data-ed=""Abbotsford South"" onclick=""togglePinned('Abbotsford South')""> <!-- Locked icon --> <!-- Unlocked icon -->",Abbotsford South,0,"7,232","12,853",669,"20,754",5 of 5,18 of 18,Complete
"<button data-ed=""Abbotsford West"" onclick=""togglePinned('Abbotsford West')""> <!-- Locked icon --> <!-- Unlocked icon -->",Abbotsford West,0,"6,948","11,225",914,"19,087",4 of 4,16 of 16,Complete
"<button data-ed=""Boundary-Similkameen"" onclick=""togglePinned('Boundary-Similkameen')""> <!-- Locked icon --> <!-- Unlocked icon -->",Boundary-Similkameen,"1,422","10,271","11,729",771,"24,193",10 of 10,22 of 22,Complete
"<button data-ed=""Bulkley Valley-Stikine"" onclick=""togglePinned('Bulkley Valley-Stikine')""> <!-- Locked icon --> <!-- Unlocked icon -->",Bulkley Valley-Stikine,588,"3,602","4,875",236,"9,301",5 of 5,24 of 24,Complete
"<button data-ed=""Burnaby Centre"" onclick=""togglePinned('Burnaby Centre')""> <!-- Locked icon --> <!-- Unlocked icon -->",Burnaby Centre,0,"9,413","7,120",0,"16,533",5 of 5,11 of 11,Complete
"<button data-ed=""Burnaby East"" onclick=""togglePinned('Burnaby East')""> <!-- Locked icon --> <!-- Unlocked icon -->",Burnaby East,"1,489","10,058","7,983",0,"19,530",6 of 6,12 of 12,Complete
"<button data-ed=""Burnaby-New Westminster"" onclick=""togglePinned('Burnaby-New Westminster')""> <!-- Locked icon --> <!-- Unlocked icon -->",Burnaby-New Westminster,0,"10,259","5,984",921,"17,164",4 of 4,13 of 13,Complete
"<button data-ed=""Burnaby North"" onclick=""togglePinned('Burnaby North')""> <!-- Locked icon --> <!-- Unlocked icon -->",Burnaby North,0,"10,353","8,457",736,"19,546",4 of 4,13 of 13,Complete
"<button data-ed=""Burnaby South-Metrotown"" onclick=""togglePinned('Burnaby South-Metrotown')""> <!-- Locked icon --> <!-- Unlocked icon -->",Burnaby South-Metrotown,920,"7,294","6,188",415,"14,817",4 of 4,13 of 13,Complete
