Electoral District,GP,NDP,CP,Other,Total Valid Votes
Abbotsford-Mission,0,10893,13523,0,24416
Abbotsford South,0,7454,13052,681,21187
Abbotsford West,0,7255,11483,940,19678
Boundary-Similkameen,1454,10497,11936,779,24666
Bulkley Valley-Stikine,604,3709,4992,239,9544
Burnaby Centre,0,9779,7293,0,17072
Burnaby East,1543,10487,8199,0,20229
Burnaby-New Westminster,0,10644,6160,940,17744
Burnaby North,0,10724,8657,754,20135
Burnaby South-Metrotown,960,7560,6372,432,15324
Cariboo-Chilcotin,0,5991,13710,0,19701
Chilliwack-Cultus Lake,0,11367,13657,0,25024
Chilliwack North,1187,8125,11776,487,21575
Columbia River-Revelstoke,1430,8097,8768,0,18295
Coquitlam-Burke Mountain,0,11022,10651,0,21673
Coquitlam-Maillardville,1462,11963,9140,534,23099
Courtenay-Comox,7202,13389,13481,646,34718
Cowichan Valley,5773,11795,10946,604,29118
Delta North,1292,10988,8377,177,20834
Delta South,0,11822,14490,0,26312
Esquimalt-Colwood,5716,15237,8652,0,29605
Fraser-Nicola,1759,6917,10322,0,18998
Juan de Fuca-Malahat,5522,9308,9167,0,23997
Kamloops Centre,2597,10369,12373,0,25339
Kamloops-North Thompson,2209,9874,17926,0,30009
Kelowna Centre,1111,10993,11031,2612,25747
Kelowna-Lake Country-Coldstream,1151,9349,14302,1724,26526
Kelowna-Mission,1349,8913,14071,2996,27329
Kootenay Central,4121,8716,6966,2189,21992
Kootenay-Monashee,1785,10202,7616,0,19603
Kootenay-Rockies,996,4184,8216,5844,19240
Ladysmith-Oceanside,2292,14144,12097,5559,34092
Langford-Highlands,2368,11444,8250,0,22062
Langley-Abbotsford,1432,8691,14336,1303,25762
Langley-Walnut Grove,1254,10946,12116,136,24452
Langley-Willowbrook,1671,10111,10977,0,22759
Maple Ridge East,1626,11960,12056,0,25642
Maple Ridge-Pitt Meadows,0,14476,11900,0,26376
Mid Island-Pacific Rim,3401,14037,11365,0,28803
Nanaimo-Gabriola Island,3501,14663,9630,0,27794
Nanaimo-Lantzville,2586,15304,11686,0,29576
Nechako Lakes,622,3167,7852,0,11641
New Westminster-Coquitlam,2379,12754,6436,0,21569
North Coast-Haida Gwaii,0,4863,2628,0,7491
North Island,2396,13461,14099,0,29956
North Vancouver-Lonsdale,0,16757,9072,0,25829
North Vancouver-Seymour,1721,16210,10994,1793,30718
Oak Bay-Gordon Head,6508,14519,8542,0,29569
Peace River North,0,828,11213,3038,15079
Peace River South,0,576,7181,2524,10281
Penticton-Summerland,1472,11296,11612,3692,28072
Port Coquitlam,1641,13837,9960,244,25682
Port Moody-Burquitlam,1926,13475,10485,0,25886
Powell River-Sunshine Coast,3929,14471,10409,356,29165
Prince George-Mackenzie,1498,5020,10762,424,17704
Prince George-North Cariboo,866,3425,11425,4392,20108
Prince George-Valemount,1612,5707,9014,0,16333
Richmond-Bridgeport,547,5921,9907,651,17026
Richmond Centre,0,5959,8426,1821,16206
Richmond-Queensborough,0,8713,10051,979,19743
Richmond-Steveston,803,10332,9848,2354,23337
Saanich North and the Islands,12307,10958,10143,635,34043
Saanich South,5484,15338,10003,0,30825
Salmon Arm-Shuswap,2250,9677,16565,3295,31787
Skeena,406,5419,6243,125,12193
Surrey City Centre,878,6727,6491,307,14403
Surrey-Cloverdale,1150,9679,10266,153,21248
Surrey-Fleetwood,1318,9913,9164,0,20395
Surrey-Guildford,821,8938,8911,369,19039
Surrey-Newton,0,7918,6653,903,15474
Surrey North,656,6745,7899,287,15587
Surrey-Panorama,0,8469,8725,404,17598
Surrey-Serpentine River,0,9343,9780,554,19677
Surrey South,0,8968,12832,0,21800
Surrey-White Rock,0,12697,14666,671,28034
Vancouver-Fraserview,1291,11895,7618,0,20804
Vancouver-Hastings,2409,14236,5391,157,22193
Vancouver-Kensington,1457,11713,6059,0,19229
Vancouver-Langara,969,8504,8086,0,17559
Vancouver-Little Mountain,1833,15636,7703,0,25172
Vancouver-Point Grey,1925,12538,7620,0,22083
Vancouver-Quilchena,1729,8648,11462,385,22224
Vancouver-Renfrew,1064,10982,5325,0,17371
Vancouver-South Granville,2872,17207,6678,0,26757
Vancouver-Strathcona,2730,13563,3427,336,20056
Vancouver-West End,1893,13143,5675,144,20855
Vancouver-Yaletown,1248,9018,7857,0,18123
Vernon-Lumby,0,11836,11359,4531,27726
Victoria-Beacon Hill,9645,13634,5514,0,28793
Victoria-Swan Lake,5900,14272,5146,156,25474
West Kelowna-Peachland,0,7394,13475,5630,26499
West Vancouver-Capilano,1435,7005,12048,5325,25813
West Vancouver-Sea to Sky,10438,7212,9762,0,27412
